Time,Functional group,Dose,Initial_conc,pH,Removal_eff
60,MSN,0.5,20,3.15,0.161735108
60,MSN,0.5,20,4.95,0.394614752
60,MSN,0.5,20,7.56,0.686106074
60,MSN,0.5,20,9.3,0.940116
60,MSN,0.5,20,10.8,0.139914324
60,SH,0.5,20,3.15,0.289066959
60,SH,0.5,20,4.95,0.450795033
60,SH,0.5,20,7.56,0.608546871
60,SH,0.5,20,9.3,0.921026987
60,SH,0.5,20,10.8,0.275858919
60,COOH,0.5,20,3.15,0.24021943
60,COOH,0.5,20,4.95,0.686880498
60,COOH,0.5,20,7.56,0.89472742
60,COOH,0.5,20,9.3,0.928793597
60,COOH,0.5,20,10.8,0.09444937
60,MSN,0.1,50,6.56,0.271820441
60,MSN,0.25,50,6.56,0.308690835
60,MSN,0.5,50,6.56,0.289218027
60,MSN,1,50,6.56,0.379153505
60,MSN,2.5,50,6.56,0.520593061
60,MSN,0.1,50,6.56,0.275160169
60,MSN,0.25,50,6.56,0.309784945
60,MSN,0.5,50,6.56,0.290834909
60,MSN,1,50,6.56,0.379559756
60,MSN,2.5,50,6.56,0.521821212
60,SH,0.1,50,6.56,0.283203555
60,SH,0.25,50,6.56,0.296594554
60,SH,0.5,50,6.56,0.469058376
60,SH,1,50,6.56,0.558510248
60,SH,2.5,50,6.56,0.837716399
60,SH,0.1,50,6.56,0.28757089
60,SH,0.25,50,6.56,0.2991789
60,SH,0.5,50,6.56,0.467608999
60,SH,1,50,6.56,0.559726749
60,SH,2.5,50,6.56,0.838191541
60,COOH,0.1,50,6.56,0.293873503
60,COOH,0.25,50,6.56,0.289236392
60,COOH,0.5,50,6.56,0.512830873
60,COOH,1,50,6.56,0.644555449
60,COOH,2.5,50,6.56,0.927354979
60,COOH,0.1,50,6.56,0.296104957
60,COOH,0.25,50,6.56,0.290501714
60,COOH,0.5,50,6.56,0.512796808
60,COOH,1,50,6.56,0.645326477
60,COOH,2.5,50,6.56,0.927532175
5,MSN,0.5,20,6.56,0.257435487
10,MSN,0.5,20,6.56,0.270138982
15,MSN,0.5,20,6.56,0.311143867
30,MSN,0.5,20,6.56,0.379065312
60,MSN,0.5,20,6.56,0.412784881
90,MSN,0.5,20,6.56,0.434164058
120,MSN,0.5,20,6.56,0.452127461
150,MSN,0.5,20,6.56,0.423844468
5,SH,0.5,20,6.56,0.307392327
10,SH,0.5,20,6.56,0.392599044
15,SH,0.5,20,6.56,0.481333126
30,SH,0.5,20,6.56,0.61648708
60,SH,0.5,20,6.56,0.762414813
90,SH,0.5,20,6.56,0.835725738
120,SH,0.5,20,6.56,0.887695824
150,SH,0.5,20,6.56,0.913614985
5,COOH,0.5,20,6.56,0.819337492
10,COOH,0.5,20,6.56,0.856815085
15,COOH,0.5,20,6.56,0.881544882
30,COOH,0.5,20,6.56,0.905807325
60,COOH,0.5,20,6.56,0.925182804
90,COOH,0.5,20,6.56,0.922447773
120,COOH,0.5,20,6.56,0.935496652
150,COOH,0.5,20,6.56,0.92912601
30,MSN,0.5,20,2.27,0.227716728
30,MSN,0.5,20,3.34,0.308423053
30,MSN,0.5,20,4.53,0.392055903
30,MSN,0.5,20,7.32,0.569699193
30,MSN,0.5,20,8.26,0.542359462
30,MSN,0.5,20,9.29,0.58782344
30,MSN,0.5,20,10.69,0.262747451
30,SH,0.5,20,2.27,0.513736264
30,SH,0.5,20,3.34,0.509183027
30,SH,0.5,20,4.53,0.577050386
30,SH,0.5,20,7.32,0.549156273
30,SH,0.5,20,8.26,0.552652415
30,SH,0.5,20,9.29,0.671841705
30,SH,0.5,20,10.69,0.214757049
30,COOH,0.5,20,2.27,0.128510379
30,COOH,0.5,20,3.34,0.275174161
30,COOH,0.5,20,4.53,0.537329901
30,COOH,0.5,20,7.32,0.46918562
30,COOH,0.5,20,8.26,0.479414093
30,COOH,0.5,20,9.29,0.573211568
30,COOH,0.5,20,10.69,0.24715057
30,MSN,1,1,6.56,1
30,MSN,1,5,6.56,0.983329059
30,MSN,1,10,6.56,0.944775602
30,MSN,1,25,6.56,0.810504413
30,MSN,1,50,6.56,0.560675801
30,SH,1,1,6.56,1
30,SH,1,5,6.56,0.988743553
30,SH,1,10,6.56,0.959827028
30,SH,1,25,6.56,0.889172706
30,SH,1,50,6.56,0.62130345
30,COOH,1,1,6.56,1
30,COOH,1,5,6.56,0.988971531
30,COOH,1,10,6.56,0.986226751
30,COOH,1,25,6.56,0.913061156
30,COOH,1,50,6.56,0.717700396
