Time,Functional group,Dose,Initial_conc,pH,Dye_type,Removal_eff
60,MSN,0.5,20,3.15,CV,16.17351076
60,MSN,0.5,20,4.95,CV,39.46147521
60,MSN,0.5,20,7.56,CV,68.61060743
60,MSN,0.5,20,9.3,CV,94.01159995
60,MSN,0.5,20,10.8,CV,13.99143239
60,SH,0.5,20,3.15,CV,28.90669591
60,SH,0.5,20,4.95,CV,45.07950329
60,SH,0.5,20,7.56,CV,60.85468706
60,SH,0.5,20,9.3,CV,92.10269869
60,SH,0.5,20,10.8,CV,27.58589188
60,COOH,0.5,20,3.15,CV,24.02194304
60,COOH,0.5,20,4.95,CV,68.68804978
60,COOH,0.5,20,7.56,CV,89.47274195
60,COOH,0.5,20,9.3,CV,92.87935969
60,COOH,0.5,20,10.8,CV,9.444936975
60,MSN,1,20,3.22,MO,11.1543691
60,MSN,1,20,4.99,MO,2.798095163
60,MSN,1,20,7.02,MO,1.187120482
60,MSN,1,20,9.53,MO,0.255768732
60,MSN,1,20,11.01,MO,0.518787098
60,SH,1,20,3.22,MO,11.45984177
60,SH,1,20,4.99,MO,7.761219681
60,SH,1,20,7.02,MO,8.934654084
60,SH,1,20,9.53,MO,2.532027826
60,SH,1,20,11.01,MO,1.640127717
60,COOH,1,20,3.22,MO,66.33458087
60,COOH,1,20,4.99,MO,34.62943349
60,COOH,1,20,7.02,MO,23.7705976
60,COOH,1,20,9.53,MO,11.52013745
60,COOH,1,20,11.01,MO,1.343446154
60,MSN,0.1,50,6.56,CV,27.18204412
60,MSN,0.25,50,6.56,CV,30.86908347
60,MSN,0.5,50,6.56,CV,28.92180269
60,MSN,1,50,6.56,CV,37.91535052
60,MSN,2.5,50,6.56,CV,52.05930606
60,MSN,0.1,50,6.56,CV,27.51601687
60,MSN,0.25,50,6.56,CV,30.97849449
60,MSN,0.5,50,6.56,CV,29.08349094
60,MSN,1,50,6.56,CV,37.9559756
60,MSN,2.5,50,6.56,CV,52.1821212
60,SH,0.1,50,6.56,CV,28.32035554
60,SH,0.25,50,6.56,CV,29.65945542
60,SH,0.5,50,6.56,CV,46.90583756
60,SH,1,50,6.56,CV,55.85102476
60,SH,2.5,50,6.56,CV,83.77163985
60,SH,0.1,50,6.56,CV,28.75708903
