Time,Functional_group,Dose,Initial_conc,pH,Removal_eff
60,MSN,1,20,3.22,11.1543691
60,MSN,1,20,4.99,2.798095163
60,MSN,1,20,7.02,1.187120482
60,MSN,1,20,9.53,0.255768732
60,MSN,1,20,11.01,0.518787098
60,SH,1,20,3.22,11.45984177
60,SH,1,20,4.99,7.761219681
60,SH,1,20,7.02,8.934654084
60,SH,1,20,9.53,2.532027826
60,SH,1,20,11.01,1.640127717
60,COOH,1,20,3.22,66.33458087
60,COOH,1,20,4.99,34.62943349
60,COOH,1,20,7.02,23.7705976
60,COOH,1,20,9.53,11.52013745
60,COOH,1,20,11.01,1.343446154
60,MSN,0.1,50,6.38,0.598980611
60,MSN,0.25,50,6.38,0.57408791
60,MSN,0.5,50,6.38,0.682993475
60,MSN,1,50,6.38,2.201448218
60,MSN,2.5,50,6.38,2.806652004
60,SH,0.1,50,6.38,0.732778877
60,SH,0.25,50,6.38,1.426662909
60,SH,0.5,50,6.38,6.526554965
60,SH,1,50,6.38,9.533904369
60,SH,2.5,50,6.38,23.54227169
60,COOH,0.1,50,6.38,2.727306521
60,COOH,0.25,50,6.38,2.301019021
60,COOH,0.5,50,6.38,8.788679141
60,COOH,1,50,6.38,23.80831243
60,COOH,2.5,50,6.38,35.28540324
5,MSN,0.5,20,6.36,3.438870467
10,MSN,0.5,20,6.36,2.706171783
15,MSN,0.5,20,6.36,2.839875923
30,MSN,0.5,20,6.36,1.770242807
60,MSN,0.5,20,6.36,3.251684672
90,MSN,0.5,20,6.36,4.34271045
120,MSN,0.5,20,6.36,3.027061718
150,MSN,0.5,20,6.36,3.066581895
5,SH,0.5,20,6.36,5.539169844
10,SH,0.5,20,6.36,5.539169844
15,SH,0.5,20,6.36,6.94914035
30,SH,0.5,20,6.36,7.560607151
60,SH,0.5,20,6.36,8.355513992
90,SH,0.5,20,6.36,8.107330408
120,SH,0.5,20,6.36,7.686497374
150,SH,0.5,20,6.36,5.089561902
5,COOH,0.5,20,6.36,15.90546151
10,COOH,0.5,20,6.36,16.29227439
15,COOH,0.5,20,6.36,17.52368785
30,COOH,0.5,20,6.36,19.10997551
60,COOH,0.5,20,6.36,19.52162958
90,COOH,0.5,20,6.36,20.30590156
120,COOH,0.5,20,6.36,21.1717946
150,COOH,0.5,20,6.36,18.73735761
60,MSN,0.5,1,6.36,10.54718523
60,MSN,0.5,5,6.36,0.843015784
60,MSN,0.5,10,6.36,0.548346025
60,MSN,0.5,25,6.36,0.388736011
60,MSN,0.5,50,6.36,0.522873882
60,SH,0.5,1,6.36,46.08454808
60,SH,0.5,5,6.36,11.64282654
60,SH,0.5,10,6.36,15.31328425
60,SH,0.5,25,6.36,7.265210067
60,SH,0.5,50,6.36,5.752744464
60,COOH,0.5,1,6.36,48.17498119
60,COOH,0.5,5,6.36,30.19011999
60,COOH,0.5,10,6.36,20.88909751
60,COOH,0.5,25,6.36,15.29433896
60,COOH,0.5,50,6.36,9.092573092
