Time,Functional group,Dose,Initial_conc,pH,Removal_eff
60,MSN,0.5,20,3.15,16.17351076
60,MSN,0.5,20,4.95,39.46147521
60,MSN,0.5,20,7.56,68.61060743
60,MSN,0.5,20,9.3,94.01159995
60,MSN,0.5,20,10.8,13.99143239
60,SH,0.5,20,3.15,28.90669591
60,SH,0.5,20,4.95,45.07950329
60,SH,0.5,20,7.56,60.85468706
60,SH,0.5,20,9.3,92.10269869
60,SH,0.5,20,10.8,27.58589188
60,COOH,0.5,20,3.15,24.02194304
60,COOH,0.5,20,4.95,68.68804978
60,COOH,0.5,20,7.56,89.47274195
60,COOH,0.5,20,9.3,92.87935969
60,COOH,0.5,20,10.8,9.444936975
60,MSN,0.1,50,6.56,27.18204412
60,MSN,0.25,50,6.56,30.86908347
60,MSN,0.5,50,6.56,28.92180269
60,MSN,1,50,6.56,37.91535052
60,MSN,2.5,50,6.56,52.05930606
60,MSN,0.1,50,6.56,27.51601687
60,MSN,0.25,50,6.56,30.97849449
60,MSN,0.5,50,6.56,29.08349094
60,MSN,1,50,6.56,37.9559756
60,MSN,2.5,50,6.56,52.1821212
60,SH,0.1,50,6.56,28.32035554
60,SH,0.25,50,6.56,29.65945542
60,SH,0.5,50,6.56,46.90583756
60,SH,1,50,6.56,55.85102476
60,SH,2.5,50,6.56,83.77163985
60,SH,0.1,50,6.56,28.75708903
60,SH,0.25,50,6.56,29.91789
60,SH,0.5,50,6.56,46.76089985
60,SH,1,50,6.56,55.97267492
60,SH,2.5,50,6.56,83.81915408
60,COOH,0.1,50,6.56,29.38735033
60,COOH,0.25,50,6.56,28.92363917
60,COOH,0.5,50,6.56,51.28308725
60,COOH,1,50,6.56,64.45554494
60,COOH,2.5,50,6.56,92.73549793
60,COOH,0.1,50,6.56,29.6104957
60,COOH,0.25,50,6.56,29.0501714
60,COOH,0.5,50,6.56,51.27968084
60,COOH,1,50,6.56,64.53264769
60,COOH,2.5,50,6.56,92.75321747
5,MSN,0.5,20,6.56,25.74354866
10,MSN,0.5,20,6.56,27.01389824
15,MSN,0.5,20,6.56,31.11438671
30,MSN,0.5,20,6.56,37.90653118
60,MSN,0.5,20,6.56,41.27848805
90,MSN,0.5,20,6.56,43.41640578
120,MSN,0.5,20,6.56,45.21274609
150,MSN,0.5,20,6.56,42.3844468
5,SH,0.5,20,6.56,30.7392327
10,SH,0.5,20,6.56,39.25990442
15,SH,0.5,20,6.56,48.13331264
30,SH,0.5,20,6.56,61.64870802
60,SH,0.5,20,6.56,76.24148131
90,SH,0.5,20,6.56,83.57257381
120,SH,0.5,20,6.56,88.76958239
150,SH,0.5,20,6.56,91.36149852
5,COOH,0.5,20,6.56,81.93374924
10,COOH,0.5,20,6.56,85.6815085
15,COOH,0.5,20,6.56,88.15448824
30,COOH,0.5,20,6.56,90.58073246
60,COOH,0.5,20,6.56,92.51828041
90,COOH,0.5,20,6.56,92.24477725
120,COOH,0.5,20,6.56,93.54966519
150,COOH,0.5,20,6.56,92.912601
30,MSN,0.5,20,2.27,22.77167277
30,MSN,0.5,20,3.34,30.84230526
30,MSN,0.5,20,4.53,39.20559029
30,MSN,0.5,20,7.32,56.9699193
30,MSN,0.5,20,8.26,54.23594616
30,MSN,0.5,20,9.29,58.78234399
30,MSN,0.5,20,10.69,26.27474505
30,SH,0.5,20,2.27,51.37362637
30,SH,0.5,20,3.34,50.91830272
30,SH,0.5,20,4.53,57.70503862
30,SH,0.5,20,7.32,54.91562729
30,SH,0.5,20,8.26,55.26524149
30,SH,0.5,20,9.29,67.18417047
30,SH,0.5,20,10.69,21.47570486
30,COOH,0.5,20,2.27,12.85103785
30,COOH,0.5,20,3.34,27.51741609
30,COOH,0.5,20,4.53,53.73299007
30,COOH,0.5,20,7.32,46.918562
30,COOH,0.5,20,8.26,47.94140934
30,COOH,0.5,20,9.29,57.32115677
30,COOH,0.5,20,10.69,24.71505699
30,MSN,1,1,6.56,100
30,MSN,1,5,6.56,98.33290587
30,MSN,1,10,6.56,94.47756024
30,MSN,1,25,6.56,81.05044127
30,MSN,1,50,6.56,56.06758007
30,SH,1,1,6.56,100
30,SH,1,5,6.56,98.87435525
30,SH,1,10,6.56,95.98270281
30,SH,1,25,6.56,88.91727057
30,SH,1,50,6.56,62.13034495
30,COOH,1,1,6.56,100
30,COOH,1,5,6.56,98.89715312
30,COOH,1,10,6.56,98.62267509
30,COOH,1,25,6.56,91.30611562
30,COOH,1,50,6.56,71.7700396
